mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,Title,RunType
0.08090057373046874,0.016580886810585893,0.019442081451416016,0.004855228209796024,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9932088285229203,1.0,0.9416666666666667,0.9583333333333333,0.978641765704584,0.024100365299433053,41,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
0.9548953533172607,0.0863280550166112,0.07523388862609863,0.01638048761770276,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.98,1.0,0.92,0.96,0.9719999999999999,0.02993325909419152,9,1.0,0.9838709677419355,1.0,0.9166666666666667,0.9666666666666667,0.9734408602150537,0.030947574077965022,9,1.0,0.9932088285229203,1.0,0.9416666666666667,0.9766666666666667,0.9823084323712508,0.0220380779853429,33,1.0,0.9743589743589743,1.0,0.9,0.9523809523809523,0.9653479853479853,0.03720544394265889,9,1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,9,1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,9,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9,0.9090909090909091,0.9518181818181818,0.042794917439781165,40,1.0,1.0,1.0,0.9333333333333333,1.0,0.9866666666666667,0.02666666666666666,9,1.0,0.95,1.0,0.9,0.9090909090909091,0.9518181818181818,0.042794917439781165,40,5,dfcmplt_SITE1_Full,Full
0.08777470588684082,0.012809550720990213,0.02113504409790039,0.0035414290403370874,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.98,1.0,0.92,0.96,0.9719999999999999,0.02993325909419152,9,1.0,0.9838709677419355,1.0,0.9166666666666667,0.9666666666666667,0.9734408602150537,0.030947574077965022,9,1.0,0.9932088285229203,1.0,0.9500000000000001,0.9583333333333334,0.9803084323712508,0.021649212192383232,35,1.0,0.9743589743589743,1.0,0.9,0.9523809523809523,0.9653479853479853,0.03720544394265889,9,1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,9,1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,9,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9,0.9090909090909091,0.9518181818181818,0.042794917439781165,40,1.0,1.0,1.0,0.9333333333333333,1.0,0.9866666666666667,0.02666666666666666,9,1.0,0.95,1.0,0.9,0.9090909090909091,0.9518181818181818,0.042794917439781165,40,5,dfcmplt_SITE1_Full,Full
0.9526810646057129,0.16567065011211243,0.08009777069091797,0.01279565251367207,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9932088285229203,1.0,0.9516666666666667,0.9683333333333334,0.9826417657045841,0.019382814086954542,32,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
0.10875134468078614,0.002043188751924203,0.023184967041015626,0.0005652170986399126,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9898132427843803,1.0,0.9533333333333334,0.9583333333333334,0.9802959818902094,0.0203785046708736,40,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
0.8961246967315674,0.1877250609097799,0.07562031745910644,0.015192634304766948,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9932088285229203,1.0,0.9483333333333334,0.9600000000000001,0.9803084323712508,0.021802638721436944,35,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
0.09952168464660645,0.017847360335637386,0.021536874771118163,0.003966487323449205,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9915110356536503,1.0,0.9525000000000001,0.9583333333333334,0.9804688737973967,0.02077064839177929,34,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
1.011719274520874,0.056351328943485164,0.07769742012023925,0.016669540980791573,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9932088285229203,1.0,0.9466666666666667,0.9616666666666667,0.9803084323712508,0.022005543485821736,35,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
0.09907121658325195,0.017972573799768292,0.02116541862487793,0.003920871963192071,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9915110356536503,1.0,0.9533333333333334,0.9566666666666668,0.9803022071307301,0.020916992382394924,39,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
0.9622506618499755,0.1800182618017504,0.07342967987060547,0.014030560646194684,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,0.98,1.0,0.94,0.96,0.976,0.023323807579381222,1,1.0,0.9838709677419355,1.0,0.9416666666666667,0.9666666666666667,0.9784408602150538,0.022136178663610017,1,1.0,0.9932088285229203,1.0,0.9466666666666667,0.9616666666666667,0.9803084323712508,0.022005543485821736,35,1.0,0.9743589743589743,1.0,0.926829268292683,0.9523809523809523,0.970713839006522,0.028251002608663117,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,1,1.0,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9668817204301077,0.029817341956880877,31,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,1.0,1.0,1.0,0.9655172413793104,1.0,0.993103448275862,0.013793103448275845,1,1.0,0.95,1.0,0.9047619047619048,0.9090909090909091,0.9527705627705627,0.04166931458387839,31,5,dfcmplt_SITE1_Full,Full
