mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,Title,RunType,MainDataset,date
0.08442187309265137,0.014686197906676713,0.01934199333190918,0.003386829056377152,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.88,0.86,0.94,0.84,0.88,0.8799999999999999,0.03346640106136301,39,0.8421052631578947,0.8361629881154499,0.9210526315789473,0.8083333333333333,0.8666666666666667,0.8548641765704584,0.03794167640560656,41,0.9422750424448217,0.9541595925297114,0.9966044142614602,0.9633333333333334,0.9550000000000001,0.9622744765138653,0.018430477569650484,23,0.8125,0.8,0.9142857142857143,0.7647058823529411,0.8421052631578947,0.82671937195931,0.05033165649246227,40,0.6842105263157895,0.7368421052631579,0.8421052631578947,0.65,0.8,0.7426315789473683,0.07101168410746496,41,0.6842105263157895,0.7368421052631579,0.8421052631578947,0.65,0.8,0.7426315789473683,0.07101168410746496,41,1.0,0.9354838709677419,1.0,0.9666666666666667,0.9333333333333333,0.9670967741935484,0.029342035098168677,1,1.0,0.875,1.0,0.9285714285714286,0.8888888888888888,0.9384920634920636,0.05321012791067218,3,0.8378378378378378,0.8529411764705882,0.9117647058823529,0.8055555555555556,0.875,0.8566198551492669,0.03564447735964819,41,1.0,0.875,1.0,0.9285714285714286,0.8888888888888888,0.9384920634920636,0.05321012791067218,3,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
0.8961434841156006,0.14607320152101472,0.07470855712890626,0.014238892818406512,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9,0.92,0.92,0.86,0.86,0.892,0.027129319932501096,24,0.868421052631579,0.9049235993208828,0.8947368421052632,0.8333333333333333,0.8500000000000001,0.8702829654782118,0.026751098365464104,38,0.9558573853989814,0.9728353140916808,0.99830220713073,0.9650000000000001,0.9550000000000001,0.9693989813242785,0.015857246702875895,12,0.8484848484848485,0.8888888888888888,0.8823529411764706,0.8,0.8205128205128205,0.8480478998126056,0.0343854458871639,36,0.7368421052631579,0.8421052631578947,0.7894736842105263,0.7,0.8,0.7736842105263158,0.04981961922610204,40,0.7368421052631579,0.8421052631578947,0.7894736842105263,0.7,0.8,0.7736842105263158,0.04981961922610204,40,1.0,0.967741935483871,1.0,0.9666666666666667,0.9,0.9668817204301077,0.03651737019307405,2,1.0,0.9411764705882353,1.0,0.9333333333333333,0.8421052631578947,0.9433230134158928,0.057920628342695776,1,0.8611111111111112,0.9090909090909091,0.8857142857142857,0.8285714285714286,0.8709677419354839,0.8710910952846437,0.026703411412057475,40,1.0,0.9411764705882353,1.0,0.9333333333333333,0.8421052631578947,0.9433230134158928,0.057920628342695776,1,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
0.09727721214294434,0.011253403638686228,0.019677209854125976,0.0037752155012595917,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.88,0.94,1.0,0.88,0.9,0.9199999999999999,0.045607017003965515,5,0.8522920203735145,0.9312393887945671,1.0,0.8666666666666667,0.8916666666666666,0.908372948500283,0.05306971821088347,6,0.9609507640067911,0.9762308998302207,1.0,0.9716666666666667,0.9583333333333334,0.9734363327674023,0.014836170389978021,7,0.8235294117647058,0.918918918918919,1.0,0.8421052631578947,0.8717948717948718,0.8912696931272783,0.06320113112712054,6,0.7368421052631579,0.8947368421052632,1.0,0.8,0.85,0.8563157894736841,0.08900185189022304,13,0.7368421052631579,0.8947368421052632,1.0,0.8,0.85,0.8563157894736841,0.08900185189022304,13,0.967741935483871,0.967741935483871,1.0,0.9333333333333333,0.9333333333333333,0.9604301075268818,0.0250646060805737,3,0.9333333333333333,0.9444444444444444,1.0,0.8888888888888888,0.8947368421052632,0.9322807017543859,0.04006833873635572,5,0.8571428571428571,0.9375,1.0,0.875,0.9032258064516129,0.914573732718894,0.050628889172748034,14,0.9333333333333333,0.9444444444444444,1.0,0.8888888888888888,0.8947368421052632,0.9322807017543859,0.04006833873635572,5,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
1.0212060928344726,0.04328571388335147,0.0783719539642334,0.01776562793514374,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.88,0.92,1.0,0.88,0.92,0.9199999999999999,0.04381780460041329,5,0.8421052631578947,0.9151103565365025,1.0,0.8666666666666667,0.9166666666666667,0.9081097906055462,0.0541113089829413,7,0.967741935483871,0.9796264855687606,1.0,0.98,0.9583333333333334,0.9771403508771931,0.013992541853634124,2,0.8125,0.8947368421052632,1.0,0.8421052631578947,0.9,0.8898684210526315,0.06406638264364199,7,0.6842105263157895,0.8947368421052632,1.0,0.8,0.9,0.8557894736842107,0.10660201179934452,14,0.6842105263157895,0.8947368421052632,1.0,0.8,0.9,0.8557894736842107,0.10660201179934452,14,1.0,0.9354838709677419,1.0,0.9333333333333333,0.9333333333333333,0.9604301075268818,0.03231822347383949,3,1.0,0.8947368421052632,1.0,0.8888888888888888,0.9,0.9367251461988305,0.051783155184907476,4,0.8378378378378378,0.9354838709677419,1.0,0.875,0.9333333333333333,0.9163310084277827,0.05572403688409496,11,1.0,0.8947368421052632,1.0,0.8888888888888888,0.9,0.9367251461988305,0.051783155184907476,4,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
0.11289258003234863,0.0018121387099522535,0.021692609786987303,0.00014262538173813693,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.86,0.92,0.98,0.94,0.92,0.924,0.03878143885933063,3,0.8361629881154499,0.9151103565365025,0.9736842105263157,0.9416666666666667,0.9166666666666667,0.9166581777023204,0.045517610457872934,3,0.9643463497453311,0.9813242784380305,1.0,0.9716666666666667,0.9633333333333334,0.9761341256366723,0.013559408386312281,3,0.8,0.8947368421052632,0.972972972972973,0.926829268292683,0.9,0.898907816674184,0.05668615515374805,4,0.7368421052631579,0.8947368421052632,0.9473684210526315,0.95,0.9,0.8857894736842106,0.07795161508030997,2,0.7368421052631579,0.8947368421052632,0.9473684210526315,0.95,0.9,0.8857894736842106,0.07795161508030997,2,0.9354838709677419,0.9354838709677419,1.0,0.9333333333333333,0.9333333333333333,0.9475268817204302,0.026254180579839755,10,0.875,0.8947368421052632,1.0,0.9047619047619048,0.9,0.9148997493734337,0.04373868747694816,9,0.8529411764705882,0.9354838709677419,0.96875,0.9655172413793104,0.9333333333333333,0.9312051244301948,0.041797180637870586,3,0.875,0.8947368421052632,1.0,0.9047619047619048,0.9,0.9148997493734337,0.04373868747694816,9,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
0.9611974239349366,0.15833612655124224,0.08200945854187011,0.013635260578253297,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.92,0.92,0.98,0.94,0.92,0.9360000000000002,0.023323807579381177,1,0.8947368421052632,0.9151103565365025,0.9736842105263157,0.9416666666666667,0.9166666666666667,0.928372948500283,0.02710776435806507,1,0.9660441426146009,0.9864176570458404,1.0,0.9766666666666667,0.9650000000000001,0.9788256932654216,0.013154226749576357,1,0.8823529411764706,0.8947368421052632,0.972972972972973,0.926829268292683,0.9,0.915378404909478,0.03225370443834871,1,0.7894736842105263,0.8947368421052632,0.9473684210526315,0.95,0.9,0.8963157894736842,0.058171586861676186,1,0.7894736842105263,0.8947368421052632,0.9473684210526315,0.95,0.9,0.8963157894736842,0.058171586861676186,1,1.0,0.9354838709677419,1.0,0.9333333333333333,0.9333333333333333,0.9604301075268818,0.03231822347383949,3,1.0,0.8947368421052632,1.0,0.9047619047619048,0.9,0.9398997493734337,0.04917403088556461,2,0.8857142857142857,0.9354838709677419,0.96875,0.9655172413793104,0.9333333333333333,0.9377597462789342,0.029881020950854084,1,1.0,0.8947368421052632,1.0,0.9047619047619048,0.9,0.9398997493734337,0.04917403088556461,2,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
0.10281505584716796,0.019193576301248086,0.019908571243286134,0.0037313529558172472,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.84,0.86,0.98,0.92,0.9,0.9,0.04898979485566357,13,0.8098471986417657,0.866723259762309,0.9736842105263157,0.9166666666666667,0.8916666666666666,0.8917176004527448,0.05416357341496365,14,0.9490662139219016,0.9643463497453311,1.0,0.9700000000000001,0.9650000000000001,0.9696825127334465,0.0167013961688452,11,0.7647058823529411,0.8292682926829268,0.972972972972973,0.9,0.8717948717948718,0.8677484039607425,0.0696092371687394,14,0.6842105263157895,0.8947368421052632,0.9473684210526315,0.9,0.85,0.8552631578947368,0.0909171489755334,16,0.6842105263157895,0.8947368421052632,0.9473684210526315,0.9,0.85,0.8552631578947368,0.0909171489755334,16,0.9354838709677419,0.8387096774193549,1.0,0.9333333333333333,0.9333333333333333,0.9281720430107528,0.05151603813594097,22,0.8666666666666667,0.7727272727272727,1.0,0.9,0.8947368421052632,0.8868261562998405,0.07275906577244227,24,0.8285714285714286,0.9285714285714286,0.96875,0.9333333333333333,0.9032258064516129,0.9124903993855608,0.04687514565579306,18,0.8666666666666667,0.7727272727272727,1.0,0.9,0.8947368421052632,0.8868261562998405,0.07275906577244227,24,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
1.0849586963653564,0.003575352697018501,0.08628010749816895,0.0019278129016387802,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9,0.92,0.96,0.94,0.9,0.924,0.023323807579381173,3,0.8786078098471987,0.9151103565365025,0.9473684210526316,0.9416666666666667,0.8916666666666666,0.9148839841539331,0.026935503044480575,4,0.9592529711375212,0.9830220713073005,1.0,0.9733333333333334,0.965,0.976121675155631,0.014379217976365292,4,0.8571428571428571,0.8947368421052632,0.9444444444444444,0.926829268292683,0.8717948717948718,0.8989896567560238,0.03271079055514566,3,0.7894736842105263,0.8947368421052632,0.8947368421052632,0.95,0.85,0.8757894736842105,0.05355505619753683,5,0.7894736842105263,0.8947368421052632,0.8947368421052632,0.95,0.85,0.8757894736842105,0.05355505619753683,5,0.967741935483871,0.9354838709677419,1.0,0.9333333333333333,0.9333333333333333,0.953978494623656,0.026464722688886305,7,0.9375,0.8947368421052632,1.0,0.9047619047619048,0.8947368421052632,0.9263471177944862,0.040033671624343056,7,0.8823529411764706,0.9354838709677419,0.9393939393939394,0.9655172413793104,0.9032258064516129,0.925194759873815,0.02915970289516656,4,0.9375,0.8947368421052632,1.0,0.9047619047619048,0.8947368421052632,0.9263471177944862,0.040033671624343056,7,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
0.10325751304626465,0.01957795425235232,0.019905233383178712,0.003612613867424387,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.84,0.88,0.96,0.92,0.88,0.8959999999999999,0.04079215610874228,23,0.8098471986417657,0.8726655348047538,0.9473684210526316,0.9166666666666667,0.8666666666666667,0.882642897566497,0.04690631462334271,27,0.9465195246179966,0.9728353140916808,1.0,0.9683333333333334,0.9616666666666667,0.9698709677419355,0.017501489683838155,10,0.7647058823529411,0.8421052631578947,0.9444444444444444,0.9,0.8421052631578947,0.8586721706226349,0.06073460399917298,23,0.6842105263157895,0.8421052631578947,0.8947368421052632,0.9,0.8,0.8242105263157894,0.07902452370157245,39,0.6842105263157895,0.8421052631578947,0.8947368421052632,0.9,0.8,0.8242105263157894,0.07902452370157245,39,0.9354838709677419,0.9032258064516129,1.0,0.9333333333333333,0.9333333333333333,0.9410752688172044,0.031798882390149726,13,0.8666666666666667,0.8421052631578947,1.0,0.9,0.8888888888888888,0.8995321637426901,0.054009765971410995,15,0.8285714285714286,0.9032258064516129,0.9393939393939394,0.9333333333333333,0.875,0.8959049015500629,0.04078379839863101,35,0.8666666666666667,0.8421052631578947,1.0,0.9,0.8888888888888888,0.8995321637426901,0.054009765971410995,15,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
0.918683671951294,0.2204875786159539,0.06882820129394532,0.017789304728679022,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.9,0.92,0.96,0.96,0.9,0.9280000000000002,0.027129319932501044,2,0.8786078098471987,0.9151103565365025,0.9473684210526316,0.9666666666666667,0.8916666666666666,0.9198839841539332,0.03306581541995535,2,0.9592529711375213,0.9847198641765704,1.0,0.9716666666666667,0.9633333333333334,0.9757945670628183,0.014909796884883156,5,0.8571428571428571,0.8947368421052632,0.9444444444444444,0.9523809523809523,0.8717948717948718,0.9040999935736778,0.038196826726208846,2,0.7894736842105263,0.8947368421052632,0.8947368421052632,1.0,0.85,0.8857894736842106,0.06893732349487554,2,0.7894736842105263,0.8947368421052632,0.8947368421052632,1.0,0.85,0.8857894736842106,0.06893732349487554,2,0.967741935483871,0.9354838709677419,1.0,0.9333333333333333,0.9333333333333333,0.953978494623656,0.026464722688886305,7,0.9375,0.8947368421052632,1.0,0.9090909090909091,0.8947368421052632,0.9272129186602871,0.03960197363791868,6,0.8823529411764706,0.9354838709677419,0.9393939393939394,1.0,0.9032258064516129,0.9320913115979529,0.03995885551871714,2,0.9375,0.8947368421052632,1.0,0.9090909090909091,0.8947368421052632,0.9272129186602871,0.03960197363791868,6,5,dfcmpltPreLC4_SITE1_Full,Full,dfcmpltPreLC4_SITE1,2024-05-06 10:08:43.378711
